"JOBBees — Feature Estimation  ·  Edit ""Call"" column → totals update automatically",,,,,,
212,1. Mobile App,1.18 Cross-cutting,Offline draft persistence (tasks only),POST,3,"Post-launch. Task drafts saved locally when offline, synced on reconnect."
213,1. Mobile App,1.18 Cross-cutting,Empty states,IN,3,Illustrated empty state screens for all lists. Critical for new user experience.
214,1. Mobile App,1.18 Cross-cutting,Error boundary screens,IN,2,Catch unhandled errors and show friendly screen with retry.
215,1. Mobile App,1.18 Cross-cutting,Network retry / loader UX,IN,2,Loading skeletons + automatic retry on network timeout.
216,1. Mobile App,1.18 Cross-cutting,Crash reporting (Sentry SDK),IN,2,Real-time crash visibility. Must scrub PII from crash reports.
217,1. Mobile App,1.18 Cross-cutting,Analytics events (PostHog / Mixpanel),IN,3,Event taxonomy for funnel analysis. Pseudonymous user_id — no PII in events.
218,1. Mobile App,1.18 Cross-cutting,Accessibility — basics (WCAG 2.1 AA),THIN,4,Minimum compliance. Full audit post-launch.
219,1. Mobile App,1.18 Cross-cutting,RTL text support (Arabic),DROP,0,Removed per direction — English-only MVP.
220,1. Mobile App,1.18 Cross-cutting,Background tasks (location during active job),IN,3,iOS/Android background location for live tracking.
221,1. Mobile App,1.18 Cross-cutting,App lifecycle handling (background / foreground),IN,2,"Refreshes feed, reconnects WebSocket on foreground."
222,1. Mobile App,1.18 Cross-cutting,Biometric prompt on payment / sensitive action,POST,2,Post-launch. Optional biometric confirmation before high-value payment actions.
223,1. Mobile App,1.18 Cross-cutting,Push token rotation,IN,2,Refreshes FCM/APNS device token on reinstall or device change.
224,1. Mobile App,1.18 Cross-cutting,Universal link verification setup,IN,2,apple-app-site-association + assetlinks.json files.
225,1. Mobile App,1.18 Cross-cutting,"App icon, splash, launch animation",IN,2,Brand assets integrated into Flutter build config.
226,1. Mobile App,1.18 Cross-cutting,App Store / Play Store listings + screenshots,IN,4,"Store metadata, screenshots, descriptions. ~1 week before launch."
227,1. Mobile App,1.18 Cross-cutting,App Tracking Transparency prompt (iOS),IN,1,Required by Apple for any analytics that tracks users.
M-228,1. Mobile App,1.19 Security & Trust Extras,AI Welcome Agent (onboarding walkthrough),IN,4,Blueprint §18. Conversational AI agent on first login. Tasker and poster see different journeys. Claude Haiku. Skippable.
M-229,1. Mobile App,1.19 Security & Trust Extras,Device fingerprinting at signup (FingerprintJS),IN,3,Blueprint §37. FingerprintJS Pro. Feeds fraud graph. Detects multi-account devices.
M-230,1. Mobile App,1.19 Security & Trust Extras,"Versioned consent capture (ToS, Privacy, marketing)",IN,4,Blueprint §4. Separate timestamped records in user_consent_log per ToS version.
M-231,1. Mobile App,1.19 Security & Trust Extras,Account lockout after failed OTP / auth attempts,IN,2,Blueprint §4. 5 failed OTP/hour → lockout. 10 failed passwords → forced re-auth.
M-232,1. Mobile App,1.19 Security & Trust Extras,Offline draft queue for messages (SQLite),POST,4,Post-launch. Flutter drift (SQLite) queues messages offline. Idempotency keys on drain.
M-233,1. Mobile App,1.10 Payments,Annual income statement download,IN,2,[MDR §5.2] ATO requirement. Screen lists available income statements by financial year. Tap to download PDF generated by B-55 batch job. Required for contractor tax returns.
M-234,1. Mobile App,1.5 Task Posting,Supply soft-block + waitlist signup,IN,4,"[MDR §5.3] Shown when geographic supply check returns zero eligible contractors for task location + category. Options: (1) expand radius, (2) join waitlist — captures email + task type + suburb. Clear messaging: 'We'll notify you when a tasker becomes available nearby.' Backend supply check in B-59."
228,2.1-2.2 Backend,2.1 Auth & Users,User CRUD endpoints,IN,6,"Core user management API. Create, read, update, deactivate."
229,2.1-2.2 Backend,2.1 Auth & Users,"OAuth providers (Google, Apple) — server side",IN,6,"Token validation, profile merge with existing account if email matches."
230,2.1-2.2 Backend,2.1 Auth & Users,JWT session + refresh rotation,IN,4,Short-lived access token + long-lived refresh. Rotation on each use.
231,2.1-2.2 Backend,2.1 Auth & Users,Password hashing + reset tokens,IN,2,bcrypt/argon2 hashing. Time-limited reset tokens sent via email.
232,2.1-2.2 Backend,2.1 Auth & Users,OTP service (Notifyre SMS / SendGrid email),IN,5,"SMS via Notifyre (AU-registered sender ID, Blueprint §37)."
233,2.1-2.2 Backend,2.1 Auth & Users,Email verification (posters),IN,2,Verification token sent via SendGrid. Blocks posting until verified.
234,2.1-2.2 Backend,2.1 Auth & Users,Phone OTP verification (taskers only),IN,3,Gated by user_type=tasker. Required for Trust Tier 1.
235,2.1-2.2 Backend,2.1 Auth & Users,Biometric token exchange,IN,2,App presents local biometric result; backend exchanges for short-lived session token.
236,2.1-2.2 Backend,2.1 Auth & Users,Role-based permissions (poster / tasker / admin),IN,4,RBAC middleware on all endpoints.
237,2.1-2.2 Backend,2.1 Auth & Users,Account suspension / ban,IN,2,Admin action that sets suspended flag. All active sessions revoked immediately.
238,2.1-2.2 Backend,2.1 Auth & Users,Account deletion + anonymisation pipeline,IN,8,P0-08. Multi-step: anonymise PII → revoke sessions → update Stripe → cancel active tasks.
239,2.1-2.2 Backend,2.1 Auth & Users,Session revocation (logout-all),THIN,2,Invalidates all refresh tokens. Redis token blocklist.
240,2.1-2.2 Backend,2.1 Auth & Users,KYC orchestration (manual queue),IN,2,MVP-required: upload docs → create manual_kyc_submission record → status state machine (pending/approved/rejected) → T&S admin review queue (AP-09). No Onfido. Simple DB record + status transitions.
241,2.1-2.2 Backend,2.1 Auth & Users,ABN + ABR lookup integration,IN,3,P0-05. Free ABR API. Cache 24h per ABN. Drives RCTI eligibility.
242,2.1-2.2 Backend,2.1 Auth & Users,User profile + skills + service areas API,IN,5,Profile updates trigger embedding refresh job.
243,2.1-2.2 Backend,2.1 Auth & Users,Tasker availability API,DROP,0,Availability calendar dropped.
244,2.1-2.2 Backend,2.1 Auth & Users,Poster → Tasker upgrade backend (one-way),DROP,0,Removed per direction. Mobile upgrade flow (ID 15) also removed.
245,2.1-2.2 Backend,2.1 Auth & Users,Re-auth gate for change-email / phone,IN,3,Requires fresh auth token. Prevents account takeover.
246,2.1-2.2 Backend,2.2 Tasks & Extraction,Task CRUD endpoints,IN,6,State machine: draft → open → assigned → in_progress → completed.
247,2.1-2.2 Backend,2.2 Tasks & Extraction,AI extraction (Gemini Flash JSON-mode),IN,6,Task description → structured JSON. Per-user 20/day quota in Redis.
248,2.1-2.2 Backend,2.2 Tasks & Extraction,Clarifying agent loop (conditional — fires on incomplete extraction),IN,20,"Backend completeness check after AI extraction. If confidence < threshold → return follow-up questions (max 3). Simple conditional, not a full ReAct agent. Gates mobile clarifying UI (ID 56) and must be ready before camera feature (249) activates."
249,2.1-2.2 Backend,2.2 Tasks & Extraction,Multimodal extraction from images,IN,16,Vision-language model (Gemini Vision) infers task scope from photos. Must be ready before camera UI (ID 59) ships. Backend must confirm readiness before camera mobile feature is activated.
B-01,2.3-2.10 Backend,2.3 Matching Engine,Task embedding generation,IN,6,text-embedding-3-large on task title+description+category → 1536-d vector in pgvector. Single SDK call + upsert.
B-02,2.3-2.10 Backend,2.3 Matching Engine,Tasker embedding generation + refresh,IN,4,Bio + skills + job history → embedding. Refresh triggered on profile save. Same SDK pattern as B-01.
B-03,2.3-2.10 Backend,2.3 Matching Engine,pgvector kNN similarity search,IN,8,HNSW index. cosine_similarity: top-K taskers for task vector. Hard filters applied first.
B-04,2.3-2.10 Backend,2.3 Matching Engine,Composite ranker (scoring function),IN,10,score = semantic_sim×0.4 + distance×0.2 + win_rate×0.2 + budget×0.1 + trust×0.1.
B-05,2.3-2.10 Backend,2.3 Matching Engine,Auto-invite pipeline (cold-start),IN★,6,BullMQ job fires at T+2h if bids=0. Pushes to top-20 matched taskers.
B-06,2.3-2.10 Backend,2.3 Matching Engine,Discovery API (ranked feed + map),IN,5,Per-tasker Redis cache (TTL 30s). Invalidation on new task publish.
B-07,2.3-2.10 Backend,2.3 Matching Engine,Cold-start broadcast fallback (low-supply suburbs),IN,4,<10 matched taskers → broadcast to all category-matched taskers within 50km.
B-08,2.3-2.10 Backend,2.4 Payments,PaymentIntent orchestration (Mode 1),IN,8,On bid accept: create PaymentIntent (manual capture). Idempotent.
B-09,2.3-2.10 Backend,2.4 Payments,SetupIntent flow (Mode 2 — task >7 days),IN,8,CRITICAL: Stripe auth expires in 7 days. SetupIntent avoids this.
B-10,2.3-2.10 Backend,2.4 Payments,Milestone payment (Mode 3),POST,10,Post-launch. Most complex payment path — defer until Mode 1 and Mode 2 are stable in prod.
B-11,2.3-2.10 Backend,2.4 Payments,Auth expiry BullMQ job (T-6d re-auth),IN,3,Scheduled job fires at T-6d for all uncaptured PaymentIntents.
B-12,2.3-2.10 Backend,2.4 Payments,Stripe Connect Express onboarding API,IN,6,"Create Connect account, generate link, handle webhooks. Separate from KYC."
B-13,2.3-2.10 Backend,2.4 Payments,Payout disbursement + reserve hold,IN,6,48h configurable reserve hold → BullMQ delayed transfer to tasker's Connected account.
B-14,2.3-2.10 Backend,2.4 Payments,RCTI generation engine,IN,8,Auto-generates Recipient Created Tax Invoice per completed task. ATO required.
B-15,2.3-2.10 Backend,2.4 Payments,Cancellation fee engine,IN,6,"Fee matrix in admin config. Outputs fee amount, who pays, payout split."
B-16,2.3-2.10 Backend,2.4 Payments,Refund orchestration API,IN,5,Unified refund endpoint. Handles void / partial capture / post-capture refund. Idempotent.
B-17,2.3-2.10 Backend,2.4 Payments,Promo code validation engine,IN,5,Server-side validation before PaymentIntent creation. Per-user Redis counter.
B-18,2.3-2.10 Backend,2.4 Payments,Stripe webhook receiver + event routing,IN,8,Handles all Stripe event types. Stripe-Signature validation. Idempotency check.
B-19,2.3-2.10 Backend,2.4 Payments,Webhook DLQ + retry scheduler,IN,5,5× exponential retry → Dead Letter Queue → admin replay. Non-negotiable.
B-20,2.3-2.10 Backend,2.4 Payments,Idempotency middleware (all mutating endpoints),IN,6,Idempotency-Key header required on all POST/PATCH. Redis 24h TTL. Production blocker.
B-21,2.3-2.10 Backend,2.5 Messaging,Socket.IO server + Redis adapter,IN,8,CRITICAL: Redis adapter required for horizontal scaling. Must be in from day one.
B-22,2.3-2.10 Backend,2.5 Messaging,Message persistence + cursor pagination,IN,5,"Cursor-based pagination. Composite index on (task_id, created_at DESC)."
B-23,2.3-2.10 Backend,2.5 Messaging,LLM chat moderation (real-time),IN,6,Gemini Flash / Claude Haiku classifies outgoing message in <200ms. AI router (AI-01) already built; this is one classifier endpoint wired into Socket.IO emit.
B-24,2.3-2.10 Backend,2.5 Messaging,Thread state machine,IN,4,States: open → active → frozen (dispute) → archived.
B-25,2.3-2.10 Backend,2.5 Messaging,Message full-text search,IN,4,GIN index on message content. Row-level security enforced.
B-26,2.3-2.10 Backend,2.5 Messaging,File / media attachment upload service,IN,4,Backend issues presigned Azure Blob upload URL. NSFW scan async post-upload.
B-27,2.3-2.10 Backend,2.6 Disputes,Dispute state machine API,IN,6,States: filed → ai_reviewing → ai_proposed → resolved. Immutable state history.
B-28,2.3-2.10 Backend,2.6 Disputes,Tier-0 AI mediator agent (Claude Sonnet),IN★,12,Reads thread + photos + GPS + payment. Proposes resolution. Target: 50–70% acceptance.
B-29,2.3-2.10 Backend,2.6 Disputes,Evidence validation (EXIF + content),IN,5,EXIF extract already done in B-45. This adds geo check (GPS within 1km of task location) + timestamp cross-reference. Incremental logic only.
B-30,2.3-2.10 Backend,2.6 Disputes,Admin co-pilot brief generation,IN★,6,LLM generates structured brief for escalated disputes. Highest-ROI internal AI tool.
B-31,2.3-2.10 Backend,2.6 Disputes,Dispute outcome → payment action,IN,5,Outcome triggers refund API. Both parties notified. Idempotent.
B-32,2.3-2.10 Backend,2.6 Disputes,SLA timer + auto-escalation,IN,2,BullMQ jobs: AI proposal not responded to in 72h → auto-escalate.
B-33,2.3-2.10 Backend,2.7 Notifications,Push notification service (FCM / APNS / Web Push),IN,6,Device token management + delivery receipt tracking. ~5–10% push failure rate.
B-34,2.3-2.10 Backend,2.7 Notifications,Transactional email service (SendGrid),IN,5,"Template-based: signup verify, payment receipt, RCTI, dispute, reviews. DKIM + SPF."
B-35,2.3-2.10 Backend,2.7 Notifications,SMS service (Notifyre),IN,4,OTP + critical event fallback. Notifyre is AU-registered (Blueprint §37). STOP handling.
B-36,2.3-2.10 Backend,2.7 Notifications,Notification preference enforcement,THIN,4,Preference store per user per channel. Transactional cannot be disabled.
B-37,2.3-2.10 Backend,2.7 Notifications,Notification event bus (central dispatcher),IN,8,BullMQ-backed dispatcher. Deduplication window prevents double-notify.
B-38,2.3-2.10 Backend,2.8 Reviews,Review submission + blind reveal logic,IN,6,14-day timeout (Blueprint §16). Min 80 chars. Reveal triggers trust_score recompute.
B-39,2.3-2.10 Backend,2.8 Reviews,BullMQ 14-day review reveal job,IN,2,Fires after 14 days (Blueprint §16) if both haven't submitted.
B-40,2.3-2.10 Backend,2.8 Reviews,Trust score computation,IN,6,trust_score formula. Recomputed on each review reveal and dispute resolution. Formula is defined; implementation is a DB function + trigger.
B-41,2.3-2.10 Backend,2.8 Reviews,Review authenticity scoring (LLM classifier),IN★,5,"Detects: collusion patterns, GPT-phrasing anomalies, burst patterns. AI router (AI-01) built; reuses B-23 classifier pattern. Prompt engineering is the effort."
B-42,2.3-2.10 Backend,2.8 Reviews,Review moderation API,IN,3,Remove / restore review (admin only). Removal triggers trust_score recompute.
B-43,2.3-2.10 Backend,2.9 File Storage & Media,Azure Blob storage service,IN,5,Presigned upload/download URLs. Lifecycle policies. CDN-fronted.
B-44,2.3-2.10 Backend,2.9 File Storage & Media,NSFW / violence detection (Azure Content Safety),IN,4,"Async scan on all uploaded images via BullMQ. Violation → soft-delete blob, notify uploader."
B-44b,2.3-2.10 Backend,2.9 File Storage & Media,PII blur on task / profile photos,IN,4,"Runs after B-44 in the same BullMQ pipeline. Azure Computer Vision detects visible text regions (phone numbers, emails, addresses, ABNs). Sharp.js applies Gaussian blur over flagged regions before CDN serving. Prevents taskers and posters from bypassing the platform via contact info visible in photos."
B-45,2.3-2.10 Backend,2.9 File Storage & Media,EXIF validation + timestamp verification,IN,2,For completion proof: extract EXIF DateTimeOriginal + GPS via ExifTool.
B-46,2.3-2.10 Backend,2.9 File Storage & Media,AI content-match (photo → task category),POST,12,Post-launch. Vision model checks completion photo plausibly matches task category.
B-47,2.3-2.10 Backend,2.9 File Storage & Media,File validation + compression pipeline,IN,2,Magic-byte type validation. Max 10MB photos. Sharp.js server-side resize.
B-48,2.3-2.10 Backend,2.10 Trust & Safety,Behavioral fraud scoring,IN★,10,"Detects: synthetic identity, collusion, platform-leakage. Flags taskers with frequent cancellations — surfaced in admin portal moderation queue."
B-49,2.3-2.10 Backend,2.10 Trust & Safety,Graph-based anomaly detection,POST,24,Post-launch. Poster–tasker–device–IP–card graph. Needs 6+ months data.
B-50,2.3-2.10 Backend,2.10 Trust & Safety,Rate limiting (AI + auth + API),IN,3,Per-user Redis quotas. AI extraction 20/day. Auth: 10 attempts / 15min. Redis middleware + config; shared pattern across endpoints.
B-51,2.3-2.10 Backend,2.10 Trust & Safety,Prompt injection defense + PII scrubbing,IN,4,PII scrubbed before any user content goes to LLM.
B-52,2.3-2.10 Backend,2.10 Trust & Safety,"Audit log service (immutable, append-only)",IN,4,No UPDATE/DELETE. Retention: 7 years (ATO).
B-53,2.3-2.10 Backend,2.10 Trust & Safety,Moderation pipeline orchestrator,IN,4,BullMQ fan-out: new task/message/photo/review → relevant checks. B-37 notification dispatcher already establishes the fan-out pattern; this reuses it.
B-54,2.3-2.10 Backend,2.10 Trust & Safety,TFN encryption at rest (AES + Azure Key Vault),IN,6,"[MDR §5.2] Privacy Act + ATO requirement. TFN stored AES-encrypted via Azure Key Vault. Controlled-decrypt path only — TFN never logged, never returned in API responses. Migration job for any existing unencrypted records."
B-55,2.3-2.10 Backend,2.4 Payments,Annual income statement batch job (July),IN,8,[MDR §5.2] ATO requirement. Cron job runs 1 July each year. Aggregates all completed task earnings per contractor for the financial year. Generates PDF statement stored in Azure Blob. Download link emailed via Resend. Mobile screen M-233 provides in-app access.
B-56,2.3-2.10 Backend,2.4 Payments,Payment lifecycle edge cases (dispute hold + release + payout-ready gate),IN,8,"[MDR §5.4] Three gaps: (1) held_indefinitely reserve state on dispute open — locks payout until dispute resolves, prevents premature transfer to tasker. (2) Auto-release reserve on dispute closure — B-31 triggers Stripe transfer after outcome recorded. (3) PAYOUT_READY gate on task completion — blocks completion if tasker Connect account not charges_enabled/payouts_enabled, shows hard error with deep-link to Connect onboarding (ID 44)."
B-57,2.3-2.10 Backend,2.10 Trust & Safety,Auto-suspend trigger rules engine,IN,6,"[MDR §5.5] BullMQ job evaluates thresholds after each dispute resolution, no-show, review reveal, and fraud score update. Triggers: 3 disputes lost, 3 no-shows, rating < 3.0 with ≥10 reviews, fraud_score > 0.7. Auto-sets account suspended + logs reason code. Notifies tasker via push + email. Feeds reinstatement queue (AP-58)."
B-58,2.3-2.10 Backend,2.10 Trust & Safety,Data retention enforcement pipeline,IN,8,"[MDR §5.9] Nightly BullMQ cron evaluates retention rules per data class: financial records (7yr archive→purge), thread messages (7yr), KYC docs (7yr post-closure → Azure Blob delete), PCC docs (90d post-approval → purge, retain SHA-256 hash), profile data (deletion+30d → anonymise), analytics events (2yr → delete). Each run logs deleted record counts to audit log (B-52). Deletion vs anonymisation logic per class. Privacy Act compliance."
B-59,2.3-2.10 Backend,2.3 Matching Engine,Geographic supply check + demand signal capture,POST,6,"[MDR §5.3] On task post: PostGIS query checks contractor count within radius for category. Zero result → returns soft-block response to mobile (M-234). Waitlist signup stored in demand_signals table (suburb, category, user_id, timestamp). Nightly aggregate summary available to admin — feeds AP-55 Demand Map post-launch. Demand signals also generated on failed task searches and filter-with-no-results events."
AP-01,3. Admin Portal,3.1 User Management,User search & lookup,IN,4,"Search by name, email, phone, or ABN. Full-text + exact match. AdminDataTable component shared with AP-14, AP-24, AP-28."
AP-02,3. Admin Portal,3.1 User Management,Full user profile view (admin),IN,4,"Complete profile: personal info, trust tier, KYC, job history, Stripe Connect status."
AP-03,3. Admin Portal,3.1 User Management,Manual trust tier override,IN,4,Every override written to immutable audit log. Triggers tasker notification.
AP-04,3. Admin Portal,3.1 User Management,Suspend / ban / reactivate account,IN,3,Mandatory reason code + internal note. Suspension revokes all sessions via Redis.
AP-05,3. Admin Portal,3.1 User Management,Support impersonation (read-only shadow session),IN,6,Admin views app exactly as a specific user — without their credentials. All actions disabled.
AP-06,3. Admin Portal,3.1 User Management,Merge duplicate accounts,POST,16,"Post-launch. Merging job history, reviews, and payment records is complex."
AP-07,3. Admin Portal,3.1 User Management,DSR / privacy erasure request management,IN,4,Queue of incoming Data Subject Requests. 30-day SLA timer visible.
AP-08,3. Admin Portal,3.1 User Management,Manual account anonymisation trigger,IN,3,Requires dual-admin confirmation. Shows dry-run summary before commit.
AP-09,3. Admin Portal,3.2 Verification Queue,Manual ID review queue,IN,6,"Admin reviews uploaded ID + selfie manually. Approve → trust tier assigned; Reject → tasker notified with reason. No Onfido automated flow — all manual. Separate from trade licence and insurance queues (AP-10, AP-11)."
AP-09b,3. Admin Portal,3.1 User Management,Create user from admin (tasker / poster),IN,4,"Admin can create tasker (name, email, phone, skills, service areas, trust tier) or poster (name, email, phone) directly — bypasses mobile signup. Useful for manually onboarded users. Sends welcome email with set-password link. Backend user CRUD (ID 228) already supports this — UI wrapper only."
AP-10,3. Admin Portal,3.2 Verification Queue,Trade licence upload review,IN,2,Tasker-uploaded licence documents for Tier 3 verification. No automation logic — admin manual verification only.
AP-11,3. Admin Portal,3.2 Verification Queue,Insurance certificate review,IN,1,Public liability insurance cert. Cover amount ≥$5M required.
AP-12,3. Admin Portal,3.2 Verification Queue,WWCC / PCC document review,IN,1,Working with Children Check / Police Check for Tier 4. All AU states.
AP-13,3. Admin Portal,3.2 Verification Queue,Batch approve / reject with tasker notification,IN,1,Checkbox select + bulk action. Each rejection requires reason code.
AP-14,3. Admin Portal,3.3 Job & Booking Management,"Job browse, search, filter",IN,5,"Filter by status, category, suburb, date, poster, tasker."
AP-15,3. Admin Portal,3.3 Job & Booking Management,"Job detail view (bids, messages, payments)",IN,4,"Full job record: bids, thread, PaymentIntent ID, GPS check-ins, dispute history."
AP-16,3. Admin Portal,3.3 Job & Booking Management,Force-cancel a job,IN,3,Admin can cancel any job in any state. Auto-triggers refund logic.
AP-17,3. Admin Portal,3.3 Job & Booking Management,Manual refund trigger,IN,3,Admin-initiated Stripe refund. Creates RCTI credit note. Audit log mandatory.
AP-18,3. Admin Portal,3.4 Financial & Payout,Payout dashboard,IN,4,"All tasker payouts: amount, status, reserve hold expiry. Daily GMV aggregates. Stripe API read + AdminDataTable; same pattern as AP-21."
AP-19,3. Admin Portal,3.4 Financial & Payout,Stripe Connect account status per tasker,IN,2,"Shows charges_enabled, payouts_enabled, requirements. Flags taskers who can't receive payouts."
AP-20,3. Admin Portal,3.4 Financial & Payout,RCTI export for ATO compliance,IN,3,Date-range query + CSV/PDF export. B-14 already generates RCTI PDFs; this is admin date-range filter + download trigger.
AP-21,3. Admin Portal,3.4 Financial & Payout,Revenue & GMV reporting dashboard,IN,3,"Daily/weekly/monthly GMV, platform fee revenue, refund rate. Investor-grade metrics."
AP-22,3. Admin Portal,3.4 Financial & Payout,Refund log & management,IN,2,Read-only table of all refunds. AP-17 handles admin refund actions; this is display only. Risk signal surfaced in AP-39 funnel.
AP-23,3. Admin Portal,3.4 Financial & Payout,Payout hold / early release override,IN,3,"Extend reserve on fraud investigation or release early. Dual-admin for >$1,000."
AP-24,3. Admin Portal,3.5 Disputes,Dispute queue,IN,5,"All active disputes with status, age, SLA timer, amount at risk."
AP-25,3. Admin Portal,3.5 Disputes,AI mediator transcript viewer,IN,2,Full log of Claude Sonnet Tier-0 mediation conversation.
AP-26,3. Admin Portal,3.5 Disputes,Manual arbitration tools,IN,4,Admin records outcome. Triggers payment action. Both parties notified.
AP-27,3. Admin Portal,3.5 Disputes,"Evidence viewer (GPS, photos, messages)",IN,2,"Single-pane view: GPS check-in, photos, full message thread, payment timeline."
AP-28,3. Admin Portal,3.6 Review Moderation,Review moderation queue,IN,4,Flagged and reported reviews. Auto-flags reviews with profanity or personal info.
AP-29,3. Admin Portal,3.6 Review Moderation,Remove / restore review,IN,2,Removal triggers re-calculation of tasker average score.
AP-30,3. Admin Portal,3.6 Review Moderation,Review reveal window override,IN,2,Normal reveal at 14 days (Blueprint §16). Admin can force-reveal immediately.
AP-31,3. Admin Portal,3.7 Content & Config,Category & subcategory CRUD,IN,4,Changes propagate to SEO pages via ISR revalidation webhook.
AP-32,3. Admin Portal,3.7 Content & Config,Service area (suburb/region) management,IN,4,Manage canonical suburb/postcode list. Sourced from ABS GNAF data.
AP-33,3. Admin Portal,3.7 Content & Config,Platform fee & GST rate config,IN,3,Configurable fee % per category. Dual-admin approval for changes >2pp.
AP-34,3. Admin Portal,3.7 Content & Config,Feature flag management,THIN,2,Simple boolean flags in Redis. Used to gate AI features post-deploy.
AP-35,3. Admin Portal,3.7 Content & Config,Push notification broadcast,POST,8,Post-launch. Requires segmentation logic and unsubscribe compliance.
AP-36,3. Admin Portal,3.7 Content & Config,Email template management,THIN,2,Edit subject + body of transactional email templates. Changes versioned in DB.
AP-37,3. Admin Portal,3.7 Content & Config,Help centre article management (basic CMS),THIN,6,Markdown-based CMS. Published articles rendered on Next.js SEO site via API.
AP-38,3. Admin Portal,3.8 Analytics Dashboard,DAU / MAU dashboard,IN,2,Daily/monthly active users. Retention cohort chart. Refreshed every 15 minutes.
AP-39,3. Admin Portal,3.8 Analytics Dashboard,Funnel analytics (post → bid → book → complete → review),IN,3,Core health metric. Drop-off at each stage by category and date range.
AP-40,3. Admin Portal,3.8 Analytics Dashboard,Trust tier distribution chart,IN,1,Count of taskers at each trust tier. Tier upgrade velocity trend.
AP-41,3. Admin Portal,3.8 Analytics Dashboard,Review score & NPS trends,IN,2,Platform average review score over time. NPS trend (poster + tasker separately).
AP-42,3. Admin Portal,3.8 Analytics Dashboard,Top categories & suburbs by GMV,IN,2,Ranked leaderboard. Informs marketing spend and SEO page prioritisation.
AP-43,3. Admin Portal,3.8 Analytics Dashboard,Tasker supply / demand heatmap,POST,16,Post-launch. Needs 3–6 months data to be meaningful.
AP-44,3. Admin Portal,3.9 System / DevOps,Webhook DLQ viewer + manual replay,IN,6,"Payload inspection per failed event. Error log + retry history per entry. One-click re-enqueue. Manual resolve with mandatory reason capture. Filter by event type, age, status. PagerDuty alert wired for payment-class DLQ entries (Blueprint §12)."
